Bank,Ticker,Country,Latest_Price,Annual_Return,Volatility,Sharpe_Ratio,P/E,P/B,Dividend_Yield,Earnings_Growth,Market_Cap_B,Pct_From_High
CIBC,CM.TO,Canada,161.3,23.34,18.43,1.27,16.0,2.31,262.0,24.0,147.23,-1.13
National Bank,NA.TO,Canada,223.16,23.23,17.71,1.31,19.73,2.69,235.0,41.0,85.95,-0.52
RBC,RY.TO,Canada,287.08,21.95,15.13,1.45,18.68,3.08,244.0,27.5,398.94,-0.46
BMO,BMO.TO,Canada,244.98,19.84,18.6,1.07,18.82,2.04,278.0,41.2,171.59,-0.48
TD Bank,TD.TO,Canada,168.61,19.71,17.35,1.14,19.77,2.3,264.0,-61.2,278.55,-0.72
Scotiabank,BNS.TO,Canada,120.64,16.28,16.51,0.99,16.64,1.7,372.0,35.4,147.91,-2.3
Goldman Sachs,GS,USA,1077.79,32.73,28.06,1.17,19.7,3.03,164.0,24.2,317.96,-2.58
JPMorgan Chase,JPM,USA,332.43,23.26,24.74,0.94,15.92,2.59,180.0,17.2,890.75,-0.51
Wells Fargo,WFC,USA,83.89,22.64,30.71,0.74,12.97,1.58,214.0,15.1,256.72,-12.04
Bank of America,BAC,USA,57.54,15.39,27.16,0.57,14.28,1.49,193.0,24.4,408.37,-0.63
